Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Juan Soto,NYY,OF,26,157.0,576,128,166,31,4,41,109,7,4,129,119,0.0,4.0,4,0.288,0.419,0.569,0.988
Matt Chapman,SF,3B,31,154.0,575,98,142,39,2,27,78,15,2,64,158,0.0,2.0,6,0.247,0.328,0.463,0.791
Maikel Garcia,KC,3B,24,157.0,575,84,133,27,5,7,58,37,2,42,103,4.0,5.0,0,0.231,0.281,0.332,0.613
Spencer Steer,CIN,OF,27,158.0,574,74,129,34,4,20,92,25,3,72,137,0.0,2.0,8,0.225,0.319,0.402,0.721
Kyle Schwarber,PHI,DH,31,150.0,573,110,142,22,0,38,104,5,3,106,197,0.0,8.0,5,0.248,0.366,0.485,0.851
JJ Bleday,OAK,OF,27,159.0,572,74,139,43,4,20,60,2,3,67,125,1.0,,2,0.243,0.324,0.437,0.761
Adley Rutschman,BAL,C,27,148.0,571,68,143,21,1,19,79,1,0,58,103,0.0,7.0,2,0.25,0.318,0.391,0.709
Brandon Nimmo,NYM,OF,31,151.0,571,88,128,25,3,23,90,15,0,77,158,0.0,3.0,12,0.224,0.327,0.399,0.726
Eugenio Suarez,ARI,3B,33,158.0,571,90,146,28,2,30,101,2,1,49,176,0.0,11.0,9,0.256,0.319,0.469,0.788
Andrew Vaughn,CWS,1B,26,149.0,570,55,140,30,1,19,70,2,0,38,132,0.0,5.0,6,0.246,0.297,0.402,0.699
Ian Happ,CHC,OF,30,153.0,569,89,138,34,2,25,86,13,2,80,168,0.0,2.0,6,0.243,0.341,0.441,0.782
Ryan McMahon,COL,3B,30,153.0,567,68,137,28,0,20,65,4,6,69,185,0.0,4.0,3,0.242,0.325,0.397,0.722
Julio Rodriguez,SEA,OF,24,143.0,567,76,155,17,0,20,68,24,5,38,156,0.0,2.0,6,0.273,0.325,0.409,0.734
Jurickson Profar,SD,OF,32,158.0,564,94,158,29,0,24,85,10,3,76,101,5.0,5.0,18,0.28,0.38,0.459,0.839
Josh Naylor,CLE,1B,27,152.0,563,84,137,27,0,31,108,6,2,58,105,0.0,4.0,7,0.243,0.32,0.456,0.776
Yandy Diaz,TB,1B,33,145.0,563,55,158,31,1,14,65,0,0,50,95,0.0,4.0,4,0.281,0.341,0.414,0.755
Alex Verdugo,NYY,OF,28,149.0,559,74,130,28,1,13,61,2,1,49,93,2.0,10.0,1,0.233,0.291,0.356,0.647
Aaron Judge,NYY,OF,32,158.0,559,122,180,36,1,58,144,10,0,133,171,0.0,2.0,9,0.322,0.458,0.701,1.159
Brice Turang,MIL,2B,25,155.0,559,72,142,24,4,7,57,50,6,50,105,5.0,3.0,2,0.254,0.316,0.349,0.665
Willi Castro,MIN,OF,27,158.0,558,89,138,31,5,12,60,14,9,51,150,1.0,4.0,21,0.247,0.331,0.385,0.716
Alec Bohm,PHI,3B,28,143.0,554,62,155,44,2,15,97,5,2,40,86,0.0,6.0,6,0.28,0.332,0.448,0.78
Jackson Merrill,SD,OF,21,156.0,554,77,162,31,6,24,90,16,3,29,101,,5.0,1,0.292,0.326,0.5,0.826
Yordan Alvarez,HOU,OF,27,147.0,552,88,170,34,2,35,86,6,0,69,95,0.0,4.0,10,0.308,0.392,0.567,0.959
Orlando Arcia,ATL,SS,30,157.0,551,50,120,24,0,17,46,2,0,41,128,1.0,7.0,2,0.218,0.271,0.354,0.625
Bryce Harper,PHI,1B,32,145.0,550,85,157,42,0,30,87,7,4,76,138,1.0,2.0,2,0.285,0.373,0.525,0.898
Alec Burleson,STL,OF,26,152.0,547,71,147,20,0,21,78,9,4,35,76,1.0,6.0,4,0.269,0.314,0.42,0.734
Brent Rooker,OAK,DH,30,145.0,546,82,160,26,2,39,112,11,3,59,177,0.0,4.0,5,0.293,0.365,0.562,0.927
Cal Raleigh,SEA,C,28,153.0,546,73,120,16,0,34,100,6,1,70,176,0.0,6.0,6,0.22,0.312,0.436,0.748
George Springer,TOR,OF,35,145.0,545,74,120,19,3,19,56,16,1,60,115,0.0,2.0,6,0.22,0.303,0.371,0.674
Ceddanne Rafaela,BOS,OF,24,152.0,544,70,134,23,5,15,75,19,10,15,151,2.0,3.0,7,0.246,0.274,0.39,0.664
Zach Neto,LAA,SS,24,155.0,542,70,135,34,1,23,77,30,10,39,140,4.0,1.0,16,0.249,0.318,0.443,0.761
Freddie Freeman,LAD,1B,35,147.0,542,81,153,35,2,22,89,9,2,78,100,0.0,8.0,10,0.282,0.378,0.476,0.854
Brenton Doyle,COL,OF,26,149.0,542,82,141,24,4,23,72,30,5,46,153,4.0,8.0,3,0.26,0.317,0.446,0.763
CJ Abrams,WSH,SS,24,138.0,541,79,133,29,6,20,65,31,12,40,128,1.0,4.0,16,0.246,0.314,0.433,0.747
Oneil Cruz,PIT,OF,26,146.0,541,72,140,34,3,21,76,22,1,51,181,0.0,4.0,3,0.259,0.324,0.449,0.773
Jake Burger,MIA,1B,28,137.0,535,68,134,23,1,29,76,1,1,31,150,0.0,4.0,9,0.25,0.301,0.46,0.761
Dansby Swanson,CHC,SS,31,149.0,534,82,129,27,2,16,66,19,3,54,144,0.0,3.0,2,0.242,0.312,0.39,0.702
Jonathan India,CIN,2B,28,151.0,533,84,132,28,2,15,58,13,2,80,125,2.0,7.0,15,0.248,0.357,0.392,0.749
Jackson Chourio,MIL,OF,20,148.0,528,80,145,29,4,21,79,22,7,39,121,1.0,2.0,3,0.275,0.327,0.464,0.791
Rafael Devers,BOS,3B,28,138.0,525,87,143,34,5,28,83,3,0,67,147,0.0,6.0,3,0.272,0.354,0.516,0.87
Josh Smith,TEX,3B,27,149.0,523,67,135,30,1,13,62,11,2,46,121,2.0,3.0,18,0.258,0.337,0.394,0.731
Carlos Santana,MIN,1B,38,150.0,521,63,124,26,0,23,71,4,0,65,99,0.0,2.0,6,0.238,0.328,0.42,0.748
Nolan Schanuel,LAA,1B,23,147.0,519,62,130,19,0,13,54,10,1,68,103,3.0,7.0,9,0.25,0.343,0.362,0.705
Matt Vierling,DET,OF,28,144.0,518,80,133,28,5,16,57,6,1,41,121,0.0,5.0,3,0.257,0.312,0.423,0.735
Cody Bellinger,CHC,OF,29,130.0,516,72,137,23,3,18,78,9,2,45,89,0.0,5.0,3,0.266,0.325,0.426,0.751
Colt Keith,DET,2B,23,148.0,516,54,134,15,4,13,61,7,1,36,110,0.0,2.0,2,0.26,0.309,0.38,0.689
Lourdes Gurriel,ARI,OF,31,133.0,513,72,143,22,2,18,75,7,1,29,101,0.0,5.0,6,0.279,0.322,0.435,0.757
Riley Greene,DET,OF,24,137.0,512,82,134,27,6,24,74,4,2,64,156,0.0,2.0,5,0.262,0.348,0.479,0.827
Seiya Suzuki,CHC,OF,30,132.0,512,74,145,27,6,21,73,16,6,63,160,0.0,4.0,6,0.283,0.366,0.482,0.848
Bryson Stott,PHI,2B,27,148.0,506,65,124,19,2,11,57,32,3,53,93,0.0,9.0,3,0.245,0.315,0.356,0.671
Trea Turner,PHI,SS,31,121.0,505,88,149,25,0,21,62,19,4,27,98,0.0,1.0,6,0.295,0.338,0.469,0.807
Ketel Marte,ARI,2B,31,136.0,504,93,147,23,2,36,95,7,1,65,106,0.0,9.0,5,0.292,0.372,0.56,0.932
Brendan Rodgers,COL,2B,28,135.0,501,67,134,29,1,13,54,1,0,31,132,1.0,2.0,4,0.267,0.314,0.407,0.721
Luis Arraez,SD,1B,27,117.0,500,61,159,24,2,4,41,9,3,16,18,1.0,1.0,6,0.318,0.346,0.398,0.744
Luis Garcia,WSH,2B,24,140.0,500,58,141,25,1,18,70,22,5,27,86,0.0,1.0,0,0.282,0.318,0.444,0.762
Colton Cowser,BAL,OF,24,153.0,499,77,121,24,3,24,69,9,4,52,172,0.0,3.0,7,0.242,0.321,0.447,0.768
Wyatt Langford,TEX,OF,23,134.0,499,74,126,25,4,16,74,19,3,51,115,0.0,3.0,4,0.253,0.325,0.415,0.74
Zack Gelof,OAK,2B,25,,497,60,105,20,2,17,49,25,3,38,188,3.0,5.0,4,0.211,0.27,0.362,0.632
Vinnie Pasquantino,KC,1B,27,131.0,496,64,130,30,2,19,97,1,0,40,71,1.0,13.0,4,0.262,0.315,0.446,0.761
Michael Busch,CHC,1B,27,152.0,496,73,123,28,2,21,65,2,1,63,162,0.0,4.0,4,0.248,0.335,0.44,0.775
Jesus Sanchez,MIA,OF,27,149.0,489,60,123,25,1,18,64,16,2,41,140,1.0,2.0,4,0.252,0.313,0.417,0.73
Nathaniel Lowe,TEX,1B,29,140.0,486,62,129,16,1,16,69,2,0,71,125,0.0,4.0,4,0.265,0.361,0.401,0.762
Shea Langeliers,OAK,C,27,137.0,482,58,108,18,2,29,80,4,2,41,145,0.0,6.0,5,0.224,0.288,0.45,0.738
Steven Kwan,CLE,OF,27,122.0,480,83,140,16,3,14,44,12,5,53,51,2.0,0.0,5,0.292,0.368,0.425,0.793
Leody Taveras,TEX,OF,26,151.0,480,59,110,17,3,12,44,23,6,42,112,3.0,4.0,0,0.229,0.289,0.352,0.641
Christian Walker,ARI,1B,33,130.0,479,72,120,26,0,26,84,2,2,55,133,0.0,8.0,10,0.251,0.335,0.468,0.803
Logan O'Hoppe,LAA,C,25,136.0,479,64,117,17,1,20,56,2,3,33,155,1.0,,8,0.244,0.303,0.409,0.712
Andrew Benintendi,CWS,OF,30,135.0,477,50,109,20,0,20,64,3,2,41,96,0.0,3.0,1,0.229,0.289,0.396,0.685
Will Smith,LAD,C,29,128.0,476,77,118,24,2,20,75,1,1,51,105,0.0,8.0,9,0.248,0.327,0.433,0.76
Heliot Ramos,SF,OF,25,121.0,475,54,128,23,3,22,72,6,1,37,135,0.0,4.0,2,0.269,0.322,0.469,0.791
Corey Seager,TEX,SS,30,123.0,475,68,132,21,0,30,74,1,1,53,96,0.0,2.0,3,0.278,0.353,0.512,0.865
Sal Frelick,MIL,OF,24,145.0,475,66,123,22,4,2,32,18,3,39,78,2.0,1.0,4,0.259,0.32,0.335,0.655
Ryan Mountcastle,BAL,1B,28,124.0,473,54,128,30,2,13,63,3,0,27,114,0.0,6.0,1,0.271,0.308,0.425,0.733
Jacob Young,WSH,OF,25,150.0,468,75,120,24,1,3,36,33,10,30,102,9.0,2.0,12,0.256,0.316,0.331,0.647
Jake Meyers,HOU,OF,28,148.0,461,51,101,20,3,13,61,11,3,35,117,3.0,4.0,10,0.219,0.286,0.36,0.646
Jonah Heim,TEX,C,29,131.0,459,45,101,12,1,13,59,1,1,26,90,,2.0,4,0.22,0.267,0.336,0.603
Keibert Ruiz,WSH,C,26,,459,46,105,21,0,13,57,3,1,16,54,0.0,5.0,5,0.229,0.26,0.359,0.619
Daulton Varsho,TOR,OF,28,136.0,459,73,98,21,7,18,58,10,2,48,137,1.0,1.0,4,0.214,0.293,0.407,0.7
Tyler Stephenson,CIN,C,28,138.0,457,69,118,26,1,19,66,1,0,48,117,0.0,2.0,8,0.258,0.338,0.444,0.782
Gavin Sheets,CWS,OF,28,139.0,451,35,105,24,1,10,45,2,2,43,106,0.0,3.0,4,0.233,0.303,0.357,0.66
Mookie Betts,LAD,OF,32,116.0,450,75,130,24,5,19,75,16,2,61,57,0.0,4.0,1,0.289,0.372,0.491,0.863
Charlie Blackmon,COL,OF,38,124.0,449,59,115,24,5,12,52,6,2,43,86,0.0,1.0,6,0.256,0.329,0.412,0.741
Rhys Hoskins,MIL,1B,31,131.0,449,59,96,14,0,26,82,3,0,53,149,0.0,6.0,7,0.214,0.303,0.419,0.722
Andrew McCutchen,PIT,DH,38,120.0,448,66,104,18,1,20,50,3,2,58,133,0.0,2.0,7,0.232,0.328,0.411,0.739
Connor Wong,BOS,C,28,126.0,447,54,125,24,1,13,52,8,7,28,114,1.0,2.0,9,0.28,0.333,0.425,0.758
Cedric Mullins,BAL,OF,30,147.0,444,69,104,16,3,18,54,32,6,41,98,2.0,2.0,5,0.234,0.305,0.405,0.71
Ryan O'Hearn,BAL,1B,31,142.0,443,60,117,21,3,15,59,3,1,46,69,0.0,3.0,2,0.264,0.334,0.427,0.761
Jake McCarthy,ARI,OF,27,142.0,442,66,126,13,7,8,56,25,6,31,78,5.0,3.0,14,0.285,0.349,0.4,0.749
Jose Caballero,TB,SS,28,139.0,441,53,100,24,1,9,44,44,16,27,133,3.0,3.0,9,0.227,0.283,0.347,0.63
Michael Harris,ATL,OF,23,110.0,440,58,116,14,3,16,48,10,6,23,94,0.0,3.0,4,0.264,0.304,0.418,0.722
Joey Ortiz,MIL,3B,26,142.0,440,58,105,25,6,11,60,11,6,56,103,3.0,6.0,6,0.239,0.329,0.398,0.727
Gavin Lux,LAD,2B,27,139.0,439,59,110,24,2,10,50,5,2,44,110,0.0,2.0,2,0.251,0.32,0.383,0.703
Michael Conforto,SF,OF,31,130.0,438,56,104,27,3,20,66,0,1,42,118,0.0,3.0,5,0.237,0.309,0.45,0.759
J.D. Martinez,NYM,DH,37,120.0,434,46,102,24,1,16,69,0,0,49,141,0.0,2.0,6,0.235,0.32,0.406,0.726
Ernie Clement,TOR,3B,28,139.0,434,48,114,21,3,12,51,12,3,11,41,2.0,2.0,3,0.263,0.284,0.408,0.692
Xander Bogaerts,SD,SS,32,111.0,428,50,113,15,1,11,44,13,3,28,79,0.0,6.0,1,0.264,0.307,0.381,0.688
Mike Yastrzemski,SF,OF,34,140.0,428,60,99,16,9,18,57,3,2,38,124,1.0,1.0,6,0.231,0.302,0.437,0.739
Jeimer Candelario,CIN,1B,31,112.0,427,47,96,23,2,20,56,4,3,27,114,,3.0,6,0.225,0.279,0.429,0.708
Austin Riley,ATL,3B,27,110.0,425,63,109,26,2,19,56,0,0,37,118,0.0,2.0,5,0.256,0.322,0.461,0.783
Jeff McNeil,NYM,2B,32,129.0,424,57,101,26,0,12,44,5,1,35,68,1.0,3.0,9,0.238,0.308,0.384,0.692
Bryan De La Cruz,MIA,OF,28,105.0,424,44,104,19,0,18,51,3,1,25,118,0.0,2.0,2,0.245,0.289,0.417,0.706
Josh Rojas,SEA,3B,30,143.0,422,48,95,19,2,8,31,10,4,46,108,1.0,2.0,3,0.225,0.304,0.336,0.64
Brandon Marsh,PHI,OF,27,135.0,418,55,104,17,3,16,60,19,3,50,154,1.0,5.0,2,0.249,0.328,0.419,0.747
Jorge Polanco,SEA,2B,31,118.0,417,43,89,11,0,16,45,4,2,46,137,0.0,2.0,4,0.213,0.296,0.355,0.651
Giancarlo Stanton,NYY,DH,35,114.0,417,49,97,20,0,27,72,0,0,38,143,0.0,2.0,2,0.233,0.298,0.475,0.773
Jordan Westburg,BAL,2B,26,107.0,416,57,110,26,5,18,63,6,3,22,97,1.0,1.0,7,0.264,0.312,0.481,0.793
Mark Vientos,NYM,3B,25,111.0,413,58,110,22,0,27,71,0,0,33,135,0.0,5.0,3,0.266,0.322,0.516,0.838
MJ Melendez,KC,OF,26,135.0,412,44,85,23,3,17,44,4,4,35,113,0.0,0.0,3,0.206,0.273,0.4,0.673
Jarred Kelenic,ATL,OF,25,131.0,412,49,95,18,2,15,45,7,2,32,133,1.0,3.0,1,0.231,0.286,0.393,0.679
Ryan Jeffers,MIN,C,27,122.0,412,56,93,22,0,21,64,3,0,32,94,1.0,6.0,14,0.226,0.3,0.432,0.732
Lawrence Butler,OAK,OF,24,125.0,412,63,108,24,2,22,57,18,0,35,108,0.0,4.0,0,0.262,0.317,0.49,0.807
Tyler O'Neill,BOS,OF,29,113.0,411,74,99,18,0,31,61,4,0,53,159,0.0,2.0,7,0.241,0.336,0.511,0.847
Jo Adell,LAA,OF,25,130.0,405,54,84,15,2,20,62,15,10,35,126,0.0,3.0,7,0.207,0.28,0.402,0.682
Luke Raley,SEA,1B,30,137.0,404,58,98,19,2,22,58,11,2,27,135,2.0,2.0,20,0.243,0.32,0.463,0.783
Andy Pages,LAD,OF,24,,403,65,100,23,1,13,46,1,2,29,108,0.0,4.0,6,0.248,0.305,0.407,0.712
Otto Lopez,MIA,2B,26,117.0,403,49,109,23,1,6,39,20,4,25,75,2.0,2.0,1,0.27,0.313,0.377,0.69
Ha-Seong Kim,SD,SS,29,121.0,403,60,94,16,3,11,47,22,5,58,77,4.0,3.0,2,0.233,0.33,0.37,0.7
Jose Siri,TB,OF,29,130.0,402,50,75,16,1,18,47,14,7,31,170,2.0,4.0,7,0.187,0.255,0.366,0.621
Harrison Bader,NYM,OF,30,143.0,402,57,95,19,0,12,51,17,8,21,95,0.0,6.0,8,0.236,0.284,0.373,0.657
Mauricio Dubon,HOU,OF,30,137.0,402,45,108,25,0,4,47,3,2,16,55,3.0,5.0,2,0.269,0.296,0.361,0.657
Jose Miranda,MIN,3B,26,121.0,401,44,114,28,4,9,49,2,2,18,66,0.0,4.0,6,0.284,0.322,0.441,0.763
Patrick Bailey,SF,C,25,121.0,401,46,94,16,1,8,46,4,0,39,100,1.0,7.0,0,0.234,0.298,0.339,0.637
Wilyer Abreu,BOS,OF,25,132.0,399,59,101,33,2,15,58,8,3,40,125,0.0,5.0,3,0.253,0.322,0.459,0.781
Michael Toglia,COL,1B,26,116.0,399,62,87,14,3,25,55,10,1,54,147,0.0,3.0,1,0.218,0.311,0.456,0.767
Ozzie Albies,ATL,2B,28,99.0,399,52,100,29,1,10,53,8,1,27,65,0.0,4.0,5,0.251,0.303,0.404,0.707
Josh Bell,MIA,1B,32,104.0,398,38,95,18,1,14,49,0,0,34,88,0.0,3.0,5,0.239,0.305,0.394,0.699
Fernando Tatis,SD,OF,26,102.0,398,64,110,21,1,21,49,11,3,32,96,0.0,1.0,7,0.276,0.34,0.492,0.832
Nicky Lopez,CWS,2B,29,124.0,398,40,96,12,3,1,21,5,7,37,67,6.0,0.0,4,0.241,0.312,0.294,0.606
Davis Schneider,TOR,2B,26,135.0,397,48,76,19,1,13,46,6,0,47,144,,5.0,5,0.191,0.282,0.343,0.625
Max Schuemann,OAK,SS,27,133.0,396,55,87,14,0,7,34,14,1,47,119,5.0,4.0,7,0.22,0.311,0.308,0.619
Jared Triolo,PIT,3B,27,125.0,394,41,85,10,1,9,46,8,1,42,118,0.0,5.0,5,0.216,0.296,0.315,0.611
Luis Robert,CWS,OF,27,100.0,393,47,88,19,0,14,35,23,6,28,141,0.0,1.0,2,0.224,0.278,0.379,0.657
J.P. Crawford,SEA,SS,30,105.0,392,55,79,16,2,9,37,5,0,52,102,0.0,1.0,6,0.202,0.304,0.321,0.625
Mickey Moniak,LAA,OF,26,124.0,392,48,86,17,2,14,49,8,4,21,114,0.0,1.0,4,0.219,0.266,0.38,0.646
Wenceel Perez,DET,OF,25,112.0,389,51,94,16,6,9,37,9,5,32,92,2.0,1.0,1,0.242,0.3,0.383,0.683
Jazz Chisholm,MIA,3B,27,101.0,386,46,96,14,4,13,50,22,8,39,107,0.0,1.0,4,0.249,0.323,0.407,0.73
Brandon Lowe,TB,2B,30,107.0,385,56,94,19,3,21,58,5,1,33,112,0.0,2.0,5,0.244,0.311,0.473,0.784
Hunter Renfroe,KC,OF,33,120.0,385,44,88,18,0,15,52,1,1,36,84,,1.0,2,0.229,0.297,0.392,0.689
Kyle Isbel,KC,OF,27,,384,62,88,13,8,8,42,11,2,27,88,8.0,2.0,5,0.229,0.287,0.367,0.654
Brayan Rocchio,CLE,SS,24,,383,50,79,18,0,8,36,10,6,44,90,2.0,5.0,8,0.206,0.298,0.316,0.614
Rowdy Tellez,PIT,1B,29,132.0,383,38,93,18,0,13,56,1,0,31,89,0.0,5.0,2,0.243,0.299,0.392,0.691
Blake Perkins,MIL,OF,28,121.0,383,54,92,13,2,6,43,23,5,42,108,0.0,6.0,3,0.24,0.316,0.332,0.648
Mitch Haniger,SEA,OF,34,121.0,380,42,79,12,0,12,44,0,0,40,126,0.0,1.0,2,0.208,0.286,0.334,0.62
J.T. Realmuto,PHI,C,33,99.0,380,50,101,18,1,14,47,2,2,27,102,0.0,1.0,5,0.266,0.322,0.429,0.751
Masataka Yoshida,BOS,DH,31,108.0,378,45,106,21,0,10,56,2,0,27,52,0.0,,14,0.28,0.349,0.415,0.764
Korey Lee,CWS,C,26,125.0,377,36,79,14,1,12,37,6,3,17,122,0.0,0.0,0,0.21,0.244,0.347,0.591
Seth Brown,OAK,OF,32,124.0,372,32,86,11,1,14,44,4,2,25,112,0.0,1.0,2,0.231,0.283,0.379,0.662
Pete Crow-Armstrong,CHC,OF,22,,372,46,88,13,6,10,47,27,3,21,98,8.0,3.0,6,0.237,0.286,0.384,0.67
Dylan Moore,SEA,2B,32,,368,53,74,23,4,10,42,32,6,53,123,1.0,5.0,14,0.201,0.32,0.367,0.687
Max Kepler,MIN,OF,32,105.0,368,43,93,21,1,8,42,1,0,22,80,0.0,3.0,5,0.253,0.302,0.38,0.682
Joc Pederson,ARI,DH,32,132.0,367,62,101,17,1,23,64,7,4,55,105,1.0,3.0,18,0.275,0.393,0.515,0.908
Mitch Garver,SEA,C,34,114.0,367,37,63,17,0,15,51,0,0,53,133,0.0,3.0,7,0.172,0.286,0.341,0.627
Ke'Bryan Hayes,PIT,3B,28,96.0,365,38,85,9,0,4,25,11,2,23,75,0.0,4.0,4,0.233,0.283,0.29,0.573
Nolan Gorman,STL,2B,24,107.0,365,42,74,15,0,19,50,6,1,34,151,0.0,2.0,1,0.203,0.271,0.4,0.671
Thairo Estrada,SF,2B,29,,364,43,79,15,2,9,47,2,2,10,76,0.0,2.0,5,0.217,0.247,0.343,0.59
Connor Joe,PIT,OF,32,123.0,364,49,83,22,1,9,36,2,2,44,91,0.0,2.0,6,0.228,0.32,0.368,0.688
Isaac Paredes,TB,3B,26,101.0,363,41,89,19,1,16,55,0,1,52,68,0.0,2.0,12,0.245,0.357,0.435,0.792
Enrique Hernandez,LAD,3B,33,,362,44,83,16,0,12,42,0,0,27,77,1.0,3.0,0,0.229,0.281,0.373,0.654
Christopher Morel,CHC,2B,25,103.0,362,43,72,7,1,18,51,7,5,47,103,0.0,4.0,8,0.199,0.302,0.373,0.675
Nick Gonzales,PIT,2B,25,94.0,359,42,97,19,3,7,49,5,3,18,74,1.0,4.0,5,0.27,0.311,0.398,0.709
Santiago Espinal,CIN,3B,30,118.0,357,32,88,12,0,9,45,11,1,24,54,4.0,4.0,2,0.246,0.295,0.356,0.651
Trevor Larnach,MIN,OF,27,112.0,355,59,92,17,0,15,52,4,1,40,89,0.0,2.0,3,0.259,0.338,0.434,0.772
Jon Singleton,HOU,1B,33,119.0,355,46,83,13,1,13,42,0,0,47,111,0.0,3.0,0,0.234,0.321,0.386,0.707
