Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Jarren Duran,BOS,OF,28,160.0,671,111,191,48,14,21,75,34,7,54,160,1.0,3.0,6,0.285,0.342,0.492,0.834
Ezequiel Tovar,COL,SS,23,157.0,655,83,176,45,4,26,78,6,5,23,200,5.0,7.0,4,0.269,0.295,0.469,0.764
Marcus Semien,TEX,2B,34,159.0,650,101,154,27,2,23,74,8,3,64,105,0.0,1.0,3,0.237,0.308,0.391,0.699
Anthony Volpe,NYY,SS,23,160.0,637,90,155,27,7,12,60,28,7,42,156,2.0,3.0,4,0.243,0.293,0.364,0.657
Bobby Witt,KC,SS,24,161.0,636,125,211,45,11,32,109,31,12,57,106,0.0,8.0,8,0.332,0.389,0.588,0.977
Shohei Ohtani,LAD,DH,30,159.0,636,134,197,38,7,54,130,59,4,81,162,0.0,5.0,6,0.31,0.39,0.646,1.036
Gunnar Henderson,BAL,SS,23,159.0,630,118,177,31,7,37,92,21,4,78,159,0.0,4.0,7,0.281,0.364,0.529,0.893
Jose Altuve,HOU,2B,34,153.0,628,94,185,31,0,20,65,22,7,47,119,0.0,0.0,7,0.295,0.35,0.439,0.789
Bryan Reynolds,PIT,OF,30,156.0,622,73,171,29,3,24,88,10,2,57,156,0.0,3.0,10,0.275,0.344,0.447,0.791
Jose Ramirez,CLE,3B,32,158.0,620,114,173,39,2,39,118,41,7,54,82,0.0,6.0,1,0.279,0.335,0.537,0.872
Francisco Lindor,NYM,SS,31,152.0,618,107,169,39,1,33,91,29,4,56,127,0.0,3.0,12,0.273,0.344,0.5,0.844
Elly De La Cruz,CIN,SS,23,160.0,618,105,160,36,10,25,76,67,16,69,218,2.0,1.0,6,0.259,0.339,0.471,0.81
Vladimir Guerrero,TOR,1B,25,159.0,616,98,199,44,1,30,103,2,2,72,96,0.0,4.0,5,0.323,0.396,0.544,0.94
Willy Adames,MIL,SS,29,161.0,610,93,153,33,0,32,112,21,4,74,173,0.0,3.0,1,0.251,0.331,0.462,0.793
Pete Alonso,NYM,1B,30,162.0,608,91,146,31,0,34,88,3,0,70,172,0.0,4.0,13,0.24,0.329,0.459,0.788
Marcell Ozuna,ATL,DH,34,,606,96,183,31,0,39,104,1,0,74,170,0.0,4.0,3,0.302,0.378,0.546,0.924
Nick Castellanos,PHI,OF,32,162.0,606,80,154,30,4,23,86,6,2,41,139,0.0,2.0,10,0.254,0.311,0.431,0.742
Jeremy Pena,HOU,SS,27,157.0,602,78,160,28,2,15,70,20,6,25,111,3.0,6.0,14,0.266,0.308,0.394,0.702
Matt Olson,ATL,1B,30,162.0,600,78,148,37,1,29,98,0,0,71,170,0.0,5.0,9,0.247,0.333,0.457,0.79
Paul Goldschmidt,STL,1B,37,154.0,599,70,147,33,1,22,65,11,0,47,173,0.0,2.0,2,0.245,0.302,0.414,0.716
Anthony Santander,BAL,OF,30,155.0,595,91,140,25,2,44,102,2,0,58,129,0.0,5.0,7,0.235,0.308,0.506,0.814
William Contreras,MIL,C,27,155.0,595,99,167,37,2,23,92,9,2,78,139,0.0,3.0,3,0.281,0.365,0.466,0.831
Manny Machado,SD,3B,32,152.0,593,77,163,30,0,29,105,11,2,45,124,0.0,4.0,1,0.275,0.325,0.472,0.797
Salvador Perez,KC,C,34,158.0,590,58,160,28,0,27,104,0,0,44,129,0.0,6.0,11,0.271,0.33,0.456,0.786
Teoscar Hernandez,LAD,OF,32,154.0,589,84,160,32,2,33,99,12,3,53,188,0.0,1.0,8,0.272,0.339,0.501,0.84
Corbin Carroll,ARI,OF,24,158.0,589,121,136,22,14,22,74,35,8,73,130,3.0,9.0,10,0.231,0.322,0.428,0.75
Gleyber Torres,NYY,2B,28,154.0,587,80,151,26,0,15,63,4,3,65,136,2.0,8.0,3,0.257,0.33,0.378,0.708
Brendan Donovan,STL,2B,28,153.0,587,65,163,34,3,14,73,5,5,47,81,0.0,5.0,13,0.278,0.342,0.417,0.759
Masyn Winn,STL,SS,22,150.0,587,85,157,32,5,15,57,11,5,41,109,3.0,5.0,1,0.267,0.314,0.416,0.73
Yainer Diaz,HOU,C,26,148.0,585,70,175,29,3,16,84,2,0,24,107,0.0,8.0,2,0.299,0.325,0.441,0.766
Taylor Ward,LAA,OF,31,156.0,585,73,144,26,2,25,75,6,4,63,163,0.0,8.0,7,0.246,0.323,0.426,0.749
Andres Gimenez,CLE,2B,26,152.0,583,64,147,22,1,9,63,30,5,26,97,3.0,6.0,15,0.252,0.298,0.34,0.638
Nico Hoerner,CHC,2B,27,151.0,582,86,159,35,1,7,48,31,6,44,66,0.0,3.0,12,0.273,0.335,0.373,0.708
Alex Bregman,HOU,3B,30,145.0,581,79,151,30,2,26,75,3,1,44,86,0.0,4.0,5,0.26,0.315,0.453,0.768
Adolis Garcia,TEX,OF,31,154.0,580,68,130,27,0,25,85,11,5,45,177,0.0,6.0,6,0.224,0.284,0.4,0.684
Nolan Arenado,STL,3B,33,152.0,578,70,157,23,0,16,71,2,2,44,92,0.0,,5,0.272,0.325,0.394,0.719
Jake Cronenworth,SD,2B,31,155.0,577,72,139,29,3,17,83,5,2,61,118,1.0,3.0,11,0.241,0.324,0.39,0.714
