Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Marcus Semien,TEX,2B,34,162.0,670,122,185,40,4,29,100,14,3,72,110,0.0,5.0,5,0.276,0.348,0.478,0.826
Julio Rodriguez,SEA,OF,24,155.0,654,102,180,37,2,32,103,37,10,47,175,0.0,2.0,11,0.275,0.333,0.485,0.818
Ronald Acuna,ATL,OF,27,159.0,643,149,217,35,4,41,106,73,14,80,84,0.0,3.0,9,0.337,0.416,0.596,1.012
Bobby Witt,KC,SS,24,158.0,641,97,177,28,11,30,96,49,15,40,121,1.0,8.0,4,0.276,0.319,0.495,0.814
Trea Turner,PHI,SS,31,155.0,639,102,170,35,5,26,76,30,0,45,150,0.0,1.0,6,0.266,0.32,0.459,0.779
Steven Kwan,CLE,OF,27,158.0,638,93,171,36,7,5,54,21,3,70,75,1.0,6.0,3,0.268,0.34,0.37,0.71
Freddie Freeman,LAD,1B,35,161.0,637,131,211,59,2,29,102,23,1,72,121,0.0,5.0,16,0.331,0.41,0.567,0.977
Austin Riley,ATL,3B,27,159.0,636,117,179,32,3,37,97,3,1,59,172,0.0,11.0,9,0.281,0.345,0.516,0.861
Lane Thomas,WAS,OF,29,157.0,628,101,168,36,3,28,86,20,5,36,176,0.0,7.0,11,0.268,0.315,0.468,0.783
Nick Castellanos,PHI,OF,32,,626,79,170,37,2,29,106,11,2,36,185,0.0,6.0,3,0.272,0.311,0.476,0.787
Teoscar Hernandez,SEA,OF,32,160.0,625,70,161,29,2,26,93,7,2,38,211,0.0,7.0,8,0.258,0.305,0.435,0.74
Nathaniel Lowe,TEX,1B,29,161.0,623,89,163,38,3,17,82,1,0,93,165,0.0,3.0,5,0.262,0.36,0.414,0.774
Alex Bregman,HOU,3B,30,161.0,622,103,163,28,4,25,98,3,1,92,87,0.0,2.0,8,0.262,0.363,0.441,0.804
Nico Hoerner,CHC,2B,27,150.0,619,98,175,27,4,9,68,43,7,49,83,1.0,5.0,14,0.283,0.346,0.383,0.729
George Springer,TOR,OF,35,154.0,613,87,158,25,1,21,72,20,5,60,125,0.0,3.0,5,0.258,0.327,0.405,0.732
Jose Ramirez,CLE,3B,32,156.0,611,87,172,36,5,24,80,28,6,73,73,0.0,,1,0.282,0.356,0.475,0.831
Joey Meneses,WAS,DH,32,154.0,611,71,168,36,1,13,89,0,0,38,130,0.0,3.0,5,0.275,0.321,0.401,0.722
Matt Olson,ATL,1B,30,,608,127,172,27,3,54,139,1,0,104,167,0.0,4.0,4,0.283,0.389,0.604,0.993
Spencer Torkelson,DET,1B,25,159.0,606,88,141,34,1,31,94,3,0,67,171,0.0,5.0,6,0.233,0.313,0.446,0.759
Francisco Lindor,NYM,SS,31,160.0,602,108,153,33,2,31,98,31,4,66,137,0.0,,12,0.254,0.336,0.47,0.806
Vladimir Guerrero,TOR,1B,25,156.0,602,78,159,30,0,26,94,5,3,67,100,0.0,4.0,9,0.264,0.345,0.444,0.789
Eugenio Suarez,SEA,3B,33,162.0,598,68,139,29,0,22,96,2,1,70,214,0.0,11.0,15,0.232,0.323,0.391,0.714
Xander Bogaerts,SD,SS,32,155.0,596,83,170,31,2,19,58,19,2,56,110,0.0,6.0,7,0.285,0.35,0.44,0.79
Ozzie Albies,ATL,2B,28,148.0,596,96,167,30,5,33,109,13,1,46,107,0.0,8.0,8,0.28,0.336,0.513,0.849
Gleyber Torres,NYY,2B,28,158.0,596,90,163,28,2,25,68,13,6,67,98,0.0,6.0,3,0.273,0.347,0.453,0.8
Paul Goldschmidt,STL,1B,37,154.0,593,89,159,31,0,25,80,11,2,87,161,0.0,3.0,3,0.268,0.363,0.447,0.81
Brandon Nimmo,NYM,OF,31,152.0,592,89,162,30,6,24,68,3,3,74,146,1.0,4.0,11,0.274,0.363,0.466,0.829
Anthony Santander,BAL,OF,30,153.0,591,81,152,41,1,28,95,5,1,55,152,0.0,4.0,6,0.257,0.325,0.472,0.797
Adley Rutschman,BAL,C,27,154.0,588,84,163,31,1,20,80,1,2,92,101,0.0,5.0,2,0.277,0.374,0.435,0.809
Ty France,SEA,1B,30,158.0,587,79,147,32,0,12,58,1,0,43,117,0.0,1.0,34,0.25,0.337,0.366,0.703
Bryson Stott,PHI,2B,27,151.0,585,78,164,32,2,15,62,31,3,39,100,1.0,8.0,7,0.28,0.329,0.419,0.748
Jeff McNeil,NYM,2B,32,156.0,585,75,158,25,4,10,55,10,0,39,65,3.0,3.0,18,0.27,0.333,0.378,0.711
Kyle Schwarber,PHI,DH,31,160.0,585,108,115,19,1,47,104,0,2,126,215,0.0,3.0,6,0.197,0.343,0.474,0.817
Mookie Betts,LAD,OF,32,152.0,584,126,179,40,1,39,107,14,3,96,107,0.0,5.0,8,0.307,0.408,0.579,0.987
Christian Walker,ARI,1B,33,157.0,582,86,150,36,2,33,103,11,0,62,127,0.0,8.0,8,0.258,0.333,0.497,0.83
Spencer Steer,CIN,OF,27,156.0,582,74,158,37,3,23,86,15,3,68,139,0.0,4.0,11,0.271,0.356,0.464,0.82
Ezequiel Tovar,COL,SS,23,153.0,581,79,147,37,4,15,73,11,5,25,166,2.0,3.0,4,0.253,0.287,0.408,0.695
Rafael Devers,BOS,3B,28,153.0,580,90,157,34,0,33,100,5,1,62,126,0.0,3.0,11,0.271,0.351,0.5,0.851
Ian Happ,CHC,OF,30,158.0,580,86,144,35,4,21,84,14,3,99,153,0.0,6.0,6,0.248,0.36,0.431,0.791
Bryan De La Cruz,MIA,OF,28,153.0,579,60,149,32,0,19,78,4,1,40,142,0.0,5.0,1,0.257,0.304,0.411,0.715
Jeremy Pena,HOU,SS,27,150.0,577,81,152,32,3,10,52,13,9,43,129,1.0,1.0,9,0.263,0.324,0.381,0.705
Fernando Tatis,SD,OF,26,141.0,575,91,148,33,1,25,78,29,4,53,141,1.0,3.0,3,0.257,0.322,0.449,0.771
Luis Arraez,MIA,1B,27,147.0,574,71,203,30,3,10,69,3,2,35,34,1.0,3.0,4,0.354,0.393,0.469,0.862
Bryan Reynolds,PIT,OF,30,145.0,574,85,151,31,5,24,84,12,1,53,138,0.0,6.0,7,0.263,0.33,0.46,0.79
Kyle Tucker,HOU,OF,28,157.0,574,97,163,37,5,29,112,30,5,80,92,0.0,10.0,3,0.284,0.369,0.517,0.886
Bo Bichette,TOR,SS,26,135.0,571,69,175,30,3,20,73,5,3,27,115,0.0,1.0,2,0.306,0.339,0.475,0.814
Ketel Marte,ARI,2B,31,150.0,569,94,157,26,9,25,82,8,2,71,109,0.0,5.0,5,0.276,0.358,0.485,0.843
Juan Soto,SD,OF,26,,568,97,156,32,1,35,109,12,5,132,129,1.0,5.0,2,0.275,0.41,0.519,0.929
Pete Alonso,NYM,1B,30,154.0,568,92,123,21,2,46,118,4,1,65,151,0.0,4.0,21,0.217,0.318,0.504,0.822
Andrew Vaughn,CWS,1B,26,,566,67,146,30,2,21,80,0,0,36,129,0.0,2.0,11,0.258,0.314,0.429,0.743
Corbin Carroll,ARI,OF,24,155.0,565,116,161,30,10,25,76,54,5,57,125,,4.0,13,0.285,0.362,0.506,0.868
Dansby Swanson,CHC,SS,31,147.0,565,81,138,25,3,22,80,9,1,66,154,0.0,2.0,5,0.244,0.328,0.416,0.744
CJ Abrams,WAS,SS,24,151.0,563,83,138,28,6,18,64,47,4,32,118,3.0,3.0,13,0.245,0.3,0.412,0.712
Andrew Benintendi,CWS,OF,30,151.0,562,72,147,34,2,5,45,13,2,52,89,1.0,3.0,3,0.262,0.326,0.356,0.682
Nolan Arenado,STL,3B,33,144.0,560,71,149,26,2,26,93,3,3,41,101,0.0,8.0,3,0.266,0.315,0.459,0.774
Gunnar Henderson,BAL,SS,23,150.0,560,100,143,29,9,28,82,10,3,56,159,0.0,3.0,3,0.255,0.325,0.489,0.814
Alec Bohm,PHI,3B,28,145.0,558,74,153,31,0,20,97,4,1,42,94,0.0,6.0,5,0.274,0.327,0.437,0.764
Justin Turner,BOS,1B,40,146.0,558,86,154,31,0,23,96,4,1,51,110,0.0,6.0,11,0.276,0.345,0.455,0.8
Andres Gimenez,CLE,2B,26,153.0,557,76,140,27,5,15,62,30,6,32,112,4.0,3.0,20,0.251,0.314,0.399,0.713
Ryan McMahon,COL,3B,30,152.0,555,80,133,31,3,23,70,5,5,68,198,0.0,3.0,1,0.24,0.322,0.431,0.753
Adolis Garcia,TEX,OF,31,148.0,555,108,136,29,0,39,107,9,1,65,175,0.0,6.0,6,0.245,0.328,0.508,0.836
Willy Adames,MIL,SS,29,149.0,553,73,120,29,2,24,80,5,3,71,165,0.0,6.0,6,0.217,0.31,0.407,0.717
Randy Arozarena,TB,OF,29,151.0,551,95,140,19,3,23,83,22,10,80,156,0.0,5.0,18,0.254,0.364,0.425,0.789
Lourdes Gurriel,ARI,OF,31,145.0,551,65,144,35,2,24,82,5,0,33,103,0.0,2.0,6,0.261,0.309,0.463,0.772
Christian Yelich,MIL,OF,33,144.0,550,106,153,34,1,19,76,28,3,78,140,0.0,1.0,3,0.278,0.37,0.447,0.817
Whit Merrifield,TOR,2B,36,145.0,547,66,149,27,0,11,67,26,10,36,101,0.0,6.0,3,0.272,0.318,0.382,0.7
Luis Robert,CWS,OF,27,145.0,546,90,144,36,1,38,80,20,4,30,172,0.0,2.0,12,0.264,0.315,0.542,0.857
Alex Verdugo,BOS,OF,28,142.0,546,81,144,37,5,13,54,5,3,45,93,,5.0,6,0.264,0.324,0.421,0.745
Manny Machado,SD,3B,32,138.0,543,75,140,21,0,30,91,3,2,50,109,0.0,6.0,2,0.258,0.319,0.462,0.781
Anthony Volpe,NYY,SS,23,159.0,541,62,113,23,4,21,60,24,5,52,167,1.0,2.0,5,0.209,0.283,0.383,0.666
William Contreras,MIL,C,27,141.0,540,86,156,38,1,17,78,6,1,63,126,1.0,2.0,5,0.289,0.367,0.457,0.824
Jose Abreu,HOU,1B,38,141.0,540,62,128,23,1,18,90,0,1,42,130,0.0,6.0,6,0.237,0.296,0.383,0.679
Salvador Perez,KC,C,34,140.0,538,59,137,21,0,23,80,0,0,19,135,0.0,,13,0.255,0.292,0.422,0.714
Ha-Seong Kim,SD,SS,29,152.0,538,84,140,23,0,17,60,38,9,75,124,5.0,5.0,3,0.26,0.351,0.398,0.749
Masataka Yoshida,BOS,DH,31,140.0,537,71,155,33,3,15,72,8,0,34,81,0.0,2.0,7,0.289,0.338,0.445,0.783
J.P. Crawford,SEA,SS,30,145.0,534,94,142,35,0,19,65,2,0,94,125,3.0,2.0,5,0.266,0.38,0.438,0.818
MJ Melendez,KC,OF,26,148.0,533,65,125,29,5,16,56,6,4,62,170,0.0,4.0,3,0.235,0.316,0.398,0.714
Marcell Ozuna,ATL,DH,34,144.0,530,84,145,29,1,40,100,0,0,57,134,0.0,2.0,3,0.274,0.346,0.558,0.904
Dominic Smith,WAS,1B,29,153.0,527,57,134,21,1,12,46,1,1,47,91,0.0,,10,0.254,0.326,0.366,0.692
Daulton Varsho,TOR,OF,28,158.0,527,65,116,23,3,20,61,16,7,45,135,1.0,3.0,4,0.22,0.285,0.389,0.674
Yandy Diaz,TB,1B,33,,525,95,173,35,0,22,78,0,1,65,94,0.0,2.0,8,0.33,0.41,0.522,0.932
Keibert Ruiz,WAS,C,26,,523,55,136,24,0,18,67,1,1,31,58,0.0,2.0,6,0.26,0.308,0.409,0.717
Austin Hays,BAL,OF,29,144.0,520,76,143,36,2,16,67,5,1,38,141,0.0,5.0,3,0.275,0.325,0.444,0.769
Seiya Suzuki,CHC,OF,30,138.0,515,75,147,31,6,20,74,6,7,59,130,0.0,7.0,2,0.285,0.357,0.485,0.842
Carlos Correa,MIN,SS,30,135.0,514,60,118,29,2,18,65,0,0,59,131,,3.0,4,0.23,0.312,0.399,0.711
Cal Raleigh,SEA,C,28,145.0,513,78,119,23,1,30,75,0,0,54,158,0.0,1.0,1,0.232,0.306,0.456,0.762
Leody Taveras,TEX,OF,26,143.0,511,67,136,31,3,14,67,14,4,35,117,3.0,4.0,1,0.266,0.312,0.421,0.733
Javier Baez,DET,SS,32,,510,58,113,18,4,9,59,12,0,24,125,0.0,3.0,9,0.222,0.267,0.325,0.592
Matt Chapman,TOR,3B,31,140.0,509,66,122,39,2,17,54,4,2,62,165,0.0,2.0,8,0.24,0.33,0.424,0.754
Michael Harris,ATL,OF,23,138.0,505,76,148,33,3,18,57,20,4,25,101,1.0,3.0,5,0.293,0.331,0.477,0.808
Jorge Soler,MIA,OF,32,137.0,504,77,126,24,0,36,75,1,0,66,141,0.0,4.0,6,0.25,0.341,0.512,0.853
Cody Bellinger,CHC,OF,29,130.0,499,95,153,29,1,26,97,20,6,40,87,0.0,12.0,5,0.307,0.356,0.525,0.881
Shohei Ohtani,LAA,DH,30,135.0,497,102,151,26,8,44,95,20,6,91,143,0.0,3.0,3,0.304,0.412,0.654,1.066
DJ LeMahieu,NYY,3B,36,136.0,497,55,121,22,3,15,44,2,2,60,125,0.0,2.0,3,0.243,0.327,0.39,0.717
Thairo Estrada,SF,2B,29,120.0,495,63,134,26,2,14,49,23,7,22,120,0.0,2.0,11,0.271,0.315,0.416,0.731
Ke'Bryan Hayes,PIT,3B,28,124.0,494,65,134,31,7,15,61,10,6,28,104,0.0,3.0,0,0.271,0.309,0.453,0.762
