Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Eguy Rosario,SD,3B,25,11.0,36,6,9,1,1,2,6,0,0,1,12,,0.0,0,0.25,0.27,0.5,0.77
Adam Haseley,CWS,OF,28,,36,6,8,2,0,0,2,1,0,3,8,0.0,0.0,0,0.222,0.282,0.278,0.56
Blake Rutherford,WAS,OF,27,16.0,35,4,6,0,0,0,2,0,0,1,10,0.0,0.0,0,0.171,0.194,0.171,0.365
Andre Lipcius,DET,3B,26,13.0,35,3,10,1,0,1,4,0,0,3,8,0.0,0.0,0,0.286,0.342,0.4,0.742
Junior Caminero,TB,3B,21,7.0,34,4,8,1,0,1,7,0,0,2,8,0.0,0.0,0,0.235,0.278,0.353,0.631
Joey Ortiz,BAL,3B,26,15.0,33,4,7,1,0,0,4,0,0,0,9,0.0,1.0,0,0.212,0.206,0.242,0.448
Peyton Burdick,MIA,OF,27,14.0,33,4,6,2,0,1,2,1,0,3,18,0.0,0.0,1,0.182,0.27,0.333,0.603
David Hamilton,BOS,2B,27,15.0,33,2,4,2,0,0,0,2,1,6,10,0.0,0.0,0,0.121,0.256,0.182,0.438
Tyler Fitzgerald,SF,SS,27,,32,3,7,2,0,2,5,2,0,2,10,0.0,0.0,0,0.219,0.265,0.469,0.734
Oneil Cruz,PIT,OF,26,9.0,32,7,8,1,0,1,4,3,0,7,8,0.0,1.0,0,0.25,0.375,0.375,0.75
Canaan Smith-Njigba,PIT,OF,25,15.0,32,3,4,1,1,0,5,1,0,4,16,0.0,1.0,0,0.125,0.216,0.219,0.435
Harrison Bader,CIN,OF,30,14.0,31,4,5,1,0,0,3,3,1,3,3,0.0,0.0,0,0.161,0.235,0.194,0.429
Travis Blankenhorn,WAS,3B,28,10.0,31,2,5,0,0,1,1,0,0,6,6,0.0,0.0,0,0.161,0.297,0.258,0.555
Oscar Mercado,STL,OF,30,20.0,31,3,9,3,0,0,5,2,1,1,4,0.0,0.0,0,0.29,0.313,0.387,0.7
Jorge Alfaro,COL,C,31,10.0,31,2,5,4,0,1,4,0,0,0,12,0.0,0.0,1,0.161,0.188,0.387,0.575
Ji Man Choi,SD,1B,33,16.0,31,3,2,1,0,0,2,0,0,8,8,0.0,1.0,1,0.065,0.268,0.097,0.365
Jasson Dominguez,NYY,OF,22,8.0,31,6,8,1,0,4,7,1,0,2,8,0.0,0.0,0,0.258,0.303,0.677,0.98
Jose Tena,CLE,3B,23,18.0,31,2,7,2,0,0,3,0,0,3,13,0.0,0.0,0,0.226,0.294,0.29,0.584
Jordan Lawlar,ARI,SS,22,14.0,31,2,4,0,0,0,0,1,1,2,11,0.0,0.0,1,0.129,0.206,0.129,0.335
Logan Porter,KC,C,29,11.0,31,4,6,1,0,1,3,0,0,5,11,1.0,0.0,1,0.194,0.324,0.323,0.647
Heston Kjerstad,BAL,OF,26,13.0,30,3,7,1,0,2,3,0,0,2,10,0.0,0.0,0,0.233,0.281,0.467,0.748
Kolten Wong,LAD,2B,34,20.0,30,4,9,0,0,2,8,2,1,2,7,0.0,1.0,1,0.3,0.353,0.5,0.853
Kyle Stowers,BAL,OF,27,14.0,30,1,2,0,0,0,0,0,0,3,12,0.0,0.0,0,0.067,0.152,0.067,0.219
Rodolfo Castro,PHI,2B,25,14.0,30,2,3,0,0,0,2,0,0,2,12,0.0,0.0,0,0.1,0.156,0.1,0.256
Nelson Velazquez,CHC,DH,26,13.0,29,8,7,2,0,3,6,0,0,3,8,0.0,0.0,0,0.241,0.313,0.621,0.934
Jon Singleton,MIL,1B,33,11.0,29,3,3,1,0,0,2,0,0,3,11,0.0,0.0,0,0.103,0.188,0.138,0.326
Tyler Heineman,TOR,C,33,19.0,29,4,8,1,1,0,3,0,0,7,7,0.0,0.0,1,0.276,0.432,0.379,0.811
Kyle Garlick,MIN,OF,33,14.0,28,2,5,1,0,2,4,0,0,2,11,,0.0,0,0.179,0.233,0.429,0.662
Edwin Rios,CHC,1B,30,,28,3,2,1,0,1,2,0,0,5,16,0.0,0.0,1,0.071,0.235,0.214,0.449
Drew Millas,WAS,C,27,11.0,28,1,8,2,0,1,6,0,0,4,5,1.0,0.0,0,0.286,0.375,0.464,0.839
Nathan Lukes,TOR,OF,30,29.0,26,4,5,1,1,0,2,0,0,4,9,0.0,1.0,0,0.192,0.29,0.308,0.598
Bligh Madris,HOU,OF,28,12.0,26,4,4,1,0,0,0,0,0,4,7,0.0,0.0,0,0.154,0.267,0.192,0.459
Darin Ruf,MIL,DH,38,11.0,26,2,5,1,0,0,0,0,0,4,7,0.0,0.0,0,0.192,0.3,0.231,0.531
Chris Owings,PIT,2B,33,,25,0,4,0,0,0,0,0,0,0,12,0.0,0.0,0,0.16,0.16,0.16,0.32
Austin Hedges,TEX,C,32,17.0,24,1,5,0,0,0,2,0,0,0,8,1.0,0.0,0,0.208,0.208,0.208,0.416
Dalton Guthrie,PHI,OF,29,23.0,24,4,4,1,0,0,0,0,0,3,7,0.0,0.0,1,0.167,0.286,0.208,0.494
Buddy Kennedy,ARI,3B,26,10.0,24,1,4,1,0,0,1,0,0,4,6,0.0,,1,0.167,0.31,0.208,0.518
Drew Ellis,PHI,3B,29,12.0,23,4,5,0,0,2,4,0,1,6,7,0.0,0.0,0,0.217,0.379,0.478,0.857
Greg Allen,NYY,OF,31,22.0,23,6,5,1,1,1,1,3,1,2,10,,0.0,2,0.217,0.333,0.478,0.811
Brian Serven,COL,C,29,11.0,23,0,3,1,0,0,1,0,0,0,10,0.0,0.0,0,0.13,0.13,0.174,0.304
Darin Ruf,SF,DH,38,9.0,23,1,6,2,0,0,3,0,0,4,9,0.0,0.0,0,0.261,0.37,0.348,0.718
Cooper Hummel,SEA,DH,30,10.0,23,2,2,1,0,0,0,1,0,2,9,0.0,0.0,1,0.087,0.192,0.13,0.322
Josh Lester,BAL,1B,30,11.0,22,0,4,0,0,0,4,0,0,1,7,0.0,0.0,0,0.182,0.217,0.182,0.399
Yonny Hernandez,LAD,3B,26,14.0,22,5,3,1,0,0,4,0,0,2,8,1.0,1.0,1,0.136,0.231,0.182,0.413
Tommy La Stella,SEA,DH,36,12.0,21,2,4,1,0,0,2,0,0,3,5,0.0,0.0,0,0.19,0.292,0.238,0.53
Austin Meadows,DET,OF,29,6.0,21,0,5,1,0,0,2,0,0,0,3,0.0,0.0,0,0.238,0.238,0.286,0.524
Luis Torrens,CHC,C,28,13.0,20,1,5,1,0,0,3,0,0,1,8,0.0,0.0,1,0.25,0.318,0.3,0.618
Juniel Querecuto,STL,2B,32,9.0,20,2,2,1,0,0,0,0,0,1,6,0.0,0.0,0,0.1,0.143,0.15,0.293
Brian O'Keefe,SEA,C,31,8.0,19,0,2,2,0,0,2,0,0,2,7,0.0,0.0,0,0.105,0.19,0.211,0.401
Isan Diaz,SF,2B,28,6.0,19,0,1,0,0,0,1,0,0,2,7,0.0,0.0,0,0.053,0.143,0.053,0.196
Johan Camargo,SF,2B,31,8.0,18,0,4,0,0,0,2,0,0,1,4,0.0,0.0,1,0.222,0.3,0.222,0.522
Abraham Toro,MIL,3B,28,9.0,18,4,8,0,0,2,9,0,0,2,5,0.0,0.0,1,0.444,0.524,0.778,1.302
Ryan Kreidler,DET,SS,27,11.0,18,2,2,0,0,0,0,0,0,0,7,0.0,0.0,0,0.111,0.111,0.111,0.222
Vinny Capra,PIT,3B,28,9.0,18,3,3,1,0,0,1,0,0,2,5,1.0,0.0,0,0.167,0.25,0.222,0.472
Cesar Salazar,HOU,C,28,13.0,18,1,2,0,0,0,0,0,0,1,6,0.0,0.0,0,0.111,0.158,0.111,0.269
Alexander Canario,CHC,OF,24,6.0,17,1,5,1,1,1,6,0,0,0,8,0.0,0.0,0,0.294,0.294,0.647,0.941
Jorge Alfaro,BOS,C,31,8.0,17,0,2,0,0,0,0,0,0,2,3,0.0,0.0,1,0.118,0.25,0.118,0.368
Weston Wilson,PHI,OF,30,8.0,16,5,5,0,0,1,2,3,1,6,5,0.0,0.0,0,0.313,0.5,0.5,1.0
Chadwick Tromp,ATL,C,29,6.0,16,1,2,1,0,0,1,0,0,0,7,0.0,0.0,0,0.125,0.125,0.188,0.313
Alfonso Rivas,SD,1B,28,,15,2,3,2,0,0,1,0,0,2,7,0.0,0.0,0,0.2,0.294,0.333,0.627
Abraham Almonte,NYM,OF,35,8.0,15,1,1,1,0,0,0,0,0,1,8,0.0,0.0,0,0.067,0.125,0.133,0.258
Ben Gamel,SD,OF,32,6.0,15,2,3,1,0,0,2,0,0,0,2,0.0,0.0,0,0.2,0.2,0.267,0.467
Roberto Perez,SF,C,36,5.0,15,0,2,0,0,0,1,0,0,2,6,0.0,0.0,0,0.133,0.235,0.133,0.368
Jordan Luplow,TOR,OF,31,7.0,14,1,3,0,0,0,1,0,0,3,8,0.0,0.0,0,0.214,0.353,0.214,0.567
Eli White,ATL,OF,30,6.0,14,1,1,0,0,0,0,0,0,2,7,0.0,0.0,1,0.071,0.235,0.071,0.306
Seby Zavala,ARI,C,31,7.0,14,2,5,1,0,0,2,0,0,2,2,0.0,0.0,1,0.357,0.471,0.429,0.9
