Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,â‰¥.500,<.500
13,Miami Marlins,84,78,0.519,4.1,4.5,-0.4,0.1,-0.3,75-87,9,26-26,18-15,14-17,26-20,46-35,38-43,3-Jul,33-14,64-59,20-19,38-50,46-28
14,Chicago Cubs,83,79,0.512,5.1,4.5,0.6,-0.1,0.5,90-72,-7,20-Nov,30-22,17-16,25-21,45-36,38-43,6-Mar,21-24,54-57,29-22,38-51,45-28
15,San Diego Padres,82,80,0.506,4.6,4,0.6,0,0.6,92-70,-10,16-16,21-Nov,27-25,28-18,44-37,38-43,12-Feb,23-Sep,54-61,28-19,40-51,42-29
16,Cincinnati Reds,82,80,0.506,4.8,5.1,-0.2,0,-0.2,77-85,5,15-17,21-31,18-14,28-18,38-43,44-37,5-Oct,34-29,59-55,23-25,41-47,41-33
17,New York Yankees,82,80,0.506,4.2,4.3,-0.2,0.1,0,78-84,4,22-30,18-14,19-13,23-23,42-39,40-41,9-Jun,17-23,67-67,15-13,47-46,35-34
18,San Francisco Giants,79,83,0.488,4.2,4.4,-0.3,0,-0.3,76-86,3,13-18,20-13,26-26,20-26,45-36,34-47,5-Nov,25-19,51-63,28-20,46-55,33-28
19,Detroit Tigers,78,84,0.481,4.1,4.6,-0.5,-0.1,-0.6,73-89,5,25-Jul,35-17,15-17,21-25,37-44,41-40,8-Oct,21-20,62-62,16-22,31-54,47-30
20,Boston Red Sox,78,84,0.481,4.8,4.8,0,0.1,0.1,81-81,-3,24-28,19-13,15-17,20-26,39-42,39-42,6-Apr,18-25,54-66,24-18,51-55,27-29
21,Cleveland Guardians,76,86,0.469,4.1,4.3,-0.2,-0.1,-0.3,77-85,-1,16-16,23-29,17-15,20-26,42-39,34-47,9-Nov,27-31,52-51,24-35,41-45,35-41
22,Pittsburgh Pirates,76,86,0.469,4.3,4.9,-0.6,0,-0.6,71-91,5,16-17,25-27,16-15,19-27,39-42,37-44,9-Mar,22-17,50-58,26-28,40-62,36-24
23,New York Mets,75,87,0.463,4.4,4.5,-0.1,0,0,80-82,-5,25-27,13-19,18-14,19-27,43-38,32-49,3-Jul,25-28,57-52,18-35,45-57,30-30
24,Los Angeles Angels,73,89,0.451,4.6,5.1,-0.6,0,-0.5,73-89,0,14-18,18-14,22-30,19-27,38-43,35-46,8-Jul,22-21,57-64,16-25,35-63,38-26
25,St. Louis Cardinals,71,91,0.438,4.4,5.1,-0.7,0,-0.6,71-91,0,14-18,21-31,13-19,23-23,35-46,36-45,6-Jun,17-26,54-66,17-25,45-56,26-35
26,Washington Nationals,71,91,0.438,4.3,5.2,-0.9,0.1,-0.8,67-95,4,19-33,14-19,15-16,23-23,34-47,37-44,2-Jun,28-21,47-60,24-31,39-63,32-28
27,Chicago White Sox,61,101,0.377,4,5.2,-1.2,0,-1.3,61-101,0,20-Nov,23-29,21-Dec,15-31,31-50,30-51,11-May,19-30,47-77,14-24,26-59,35-42
28,Colorado Rockies,59,103,0.364,4.5,5.9,-1.5,0.1,-1.3,60-102,-1,14-20,13-17,14-38,18-28,37-44,22-59,4-Jun,23-24,37-74,22-29,31-72,28-31
29,Kansas City Royals,56,106,0.346,4.2,5.3,-1.1,0,-1.2,64-98,-8,24-Sep,20-32,20-Nov,16-30,33-48,23-58,4-Mar,21-20,42-79,14-27,25-60,31-46
30,Oakland Athletics,50,112,0.309,3.6,5.7,-2.1,0.1,-2,49-113,1,24-Aug,14-18,14-38,14-32,26-55,24-57,8-Jun,20-27,31-85,19-27,22-76,28-36
,Average,81,81,0.5,4.6,4.6,,,,81-80,,17-20,20-18,19-19,23-23,42-38,38-42,6-Jun,22-22,58-59,22-22,40-50,40-30
