Player,Year,Pos,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Team
Nolan Schanuel,2024,1B,23,151,603,519,62,130,19,0,13,54,10,1,68,103,3,7,9,0.25,0.343,0.362,0.7050000000000001,LAA
Oliver Dunn,2024,2B,27,26,103,95,11,21,2,2,1,7,3,0,6,40,1,0,2,0.221,0.282,0.316,0.598,MIL
Oneil Cruz,2024,OF,26,150,599,541,72,140,34,3,21,76,22,1,51,181,0,4,3,0.259,0.324,0.449,0.773,PIT
Orlando Arcia,2024,SS,30,151,601,551,50,120,24,0,17,46,2,0,41,128,1,7,2,0.218,0.271,0.354,0.625,ATL
Oswaldo Cabrera,2024,3B,25,81,324,299,47,74,11,0,8,36,4,2,21,63,2,3,1,0.247,0.296,0.365,0.661,NYY
Otto Lopez,2024,2B,26,108,431,403,49,109,23,1,6,39,20,4,25,75,2,2,1,0.27,0.313,0.377,0.69,MIA
Ozzie Albies,2024,2B,28,109,435,399,52,100,29,1,10,53,8,1,27,65,0,4,5,0.251,0.303,0.404,0.7070000000000001,ATL
Parker Meadows,2024,OF,25,75,297,270,39,66,12,6,9,28,9,4,25,76,0,1,1,0.244,0.31,0.433,0.743,DET
Patrick Bailey,2024,C,25,112,447,401,46,94,16,1,8,46,4,0,39,100,1,7,0,0.234,0.298,0.339,0.637,SF
Patrick Wisdom,2024,3B,33,44,173,158,16,27,7,2,8,23,5,0,10,59,1,1,4,0.171,0.237,0.392,0.629,CHC
Paul DeJong,2024,SS,31,121,482,445,54,101,17,0,24,56,2,2,23,156,0,5,9,0.227,0.276,0.427,0.7030000000000001,KC
Paul Goldschmidt,2024,1B,37,162,650,599,70,147,33,1,22,65,11,0,47,173,0,2,2,0.245,0.302,0.414,0.716,STL
Pavin Smith,2024,OF,29,40,158,137,26,37,11,0,9,36,1,0,18,31,0,3,0,0.27,0.348,0.547,0.895,ARI
Pedro Pages,2024,C,26,55,217,202,19,48,3,2,7,27,2,0,13,58,1,2,0,0.238,0.281,0.376,0.657,STL
Pete Alonso,2024,1B,30,162,695,608,91,146,31,0,34,88,3,0,70,172,0,4,13,0.24,0.329,0.459,0.788,NYM
Pete Crow-Armstrong,2024,OF,22,101,402,372,46,88,13,6,10,47,27,3,21,98,8,3,6,0.237,0.286,0.384,0.6699999999999999,CHC
Rafael Devers,2024,3B,28,151,601,525,87,143,34,5,28,83,3,0,67,147,0,6,3,0.272,0.354,0.516,0.87,BOS
Ramon Laureano,2024,OF,30,78,309,286,35,74,16,1,11,33,8,3,15,96,0,1,7,0.259,0.311,0.437,0.748,CLE
Ramon Urias,2024,3B,30,76,301,272,39,69,9,2,11,37,1,1,23,55,0,1,5,0.254,0.322,0.423,0.745,BAL
Randal Grichuk,2024,OF,33,70,279,254,40,74,20,2,12,46,0,0,20,46,0,2,3,0.291,0.348,0.528,0.876,ARI
Randy Arozarena,2024,OF,29,162,648,549,77,120,33,0,20,60,20,10,73,169,0,4,22,0.219,0.332,0.388,0.72,SEA
Reese McGuire,2024,C,29,40,157,139,10,29,3,0,3,18,3,0,13,39,1,3,2,0.209,0.28,0.295,0.575,BOS
Rhys Hoskins,2024,1B,31,129,515,449,59,96,14,0,26,82,3,0,53,149,0,6,7,0.214,0.303,0.419,0.722,MIL
Richie Palacios,2024,2B,27,79,315,264,46,59,8,1,5,21,19,1,45,67,0,1,5,0.223,0.346,0.318,0.6639999999999999,TB
Riley Adams,2024,C,28,32,128,116,10,26,5,1,2,8,1,0,10,35,0,0,2,0.224,0.297,0.336,0.633,WSH
Riley Greene,2024,OF,24,146,583,512,82,134,27,6,24,74,4,2,64,156,0,2,5,0.262,0.348,0.479,0.827,DET
Rob Refsnyder,2024,OF,33,77,305,272,32,77,16,1,11,40,2,2,28,78,0,0,5,0.283,0.361,0.471,0.832,BOS
Robbie Grossman,2024,OF,35,63,245,208,21,44,8,0,3,16,3,0,34,58,0,2,1,0.212,0.322,0.293,0.615,KC
Romy Gonzalez,2024,2B,28,54,216,199,25,53,10,1,6,29,11,3,12,58,0,4,1,0.266,0.306,0.417,0.723,BOS
Ronald Acuna,2024,OF,27,56,222,192,38,48,8,1,4,15,16,3,27,53,0,0,3,0.25,0.351,0.365,0.716,ATL
Rowdy Tellez,2024,1B,29,106,421,383,38,93,18,0,13,56,1,0,31,89,0,5,2,0.243,0.299,0.392,0.6910000000000001,PIT
Royce Lewis,2024,3B,25,82,325,292,40,68,16,0,16,47,0,0,28,74,0,5,0,0.233,0.295,0.452,0.747,MIN
Ryan Jeffers,2024,C,27,116,464,412,56,93,22,0,21,64,3,0,32,94,1,6,14,0.226,0.3,0.432,0.732,MIN
Ryan McMahon,2024,3B,30,161,643,567,68,137,28,0,20,65,4,6,69,185,0,4,3,0.242,0.325,0.397,0.722,COL
Ryan Mountcastle,2024,1B,28,127,507,473,54,128,30,2,13,63,3,0,27,114,0,6,1,0.271,0.308,0.425,0.733,BAL
Ryan Noda,2024,1B,28,28,110,95,8,13,4,0,1,4,0,0,14,37,1,0,1,0.137,0.255,0.211,0.46599999999999997,OAK
Ryan O'Hearn,2024,1B,31,124,494,443,60,117,21,3,15,59,3,1,46,69,0,3,2,0.264,0.334,0.427,0.761,BAL
Sal Frelick,2024,OF,24,130,519,475,66,123,22,4,2,32,18,3,39,78,2,1,4,0.259,0.32,0.335,0.655,MIL
Salvador Perez,2024,C,34,162,651,590,58,160,28,0,27,104,0,0,44,129,0,6,11,0.271,0.33,0.456,0.786,KC
Sam Hilliard,2024,OF,31,39,154,138,26,33,5,1,10,27,5,2,14,56,4,2,0,0.239,0.305,0.507,0.812,COL
Santiago Espinal,2024,3B,30,97,387,357,32,88,12,0,9,45,11,1,24,54,4,4,2,0.246,0.295,0.356,0.651,CIN
Sean Bouchard,2024,OF,28,27,107,91,14,17,7,0,1,8,4,0,12,33,1,2,2,0.187,0.29,0.297,0.587,COL
Sean Murphy,2024,C,30,66,264,233,19,45,5,1,10,25,0,0,27,67,0,1,3,0.193,0.284,0.352,0.6359999999999999,ATL
Seiya Suzuki,2024,OF,30,147,585,512,74,145,27,6,21,73,16,6,63,160,0,4,6,0.283,0.366,0.482,0.848,CHC
Seth Brown,2024,OF,32,100,400,372,32,86,11,1,14,44,4,2,25,112,0,1,2,0.231,0.282,0.379,0.661,OAK
Shea Langeliers,2024,C,27,134,534,482,58,108,18,2,29,80,4,2,41,145,0,6,5,0.224,0.288,0.45,0.738,OAK
Shohei Ohtani,2024,DH,30,162,728,636,134,197,38,7,54,130,59,4,81,162,0,5,6,0.31,0.39,0.646,1.036,LAD
Spencer Horwitz,2024,1B,27,96,381,328,46,87,19,0,12,40,0,0,42,70,0,4,7,0.265,0.357,0.433,0.79,TOR
Spencer Steer,2024,OF,27,162,656,574,74,129,34,4,20,92,25,3,72,137,0,2,8,0.225,0.319,0.402,0.7210000000000001,CIN
Spencer Torkelson,2024,1B,25,95,380,342,45,75,21,1,10,37,0,0,33,105,0,1,4,0.219,0.295,0.374,0.669,DET
Starling Marte,2024,OF,36,92,367,335,46,90,13,3,7,40,16,1,27,81,3,2,3,0.269,0.327,0.388,0.7150000000000001,NYM
Steven Kwan,2024,OF,27,135,538,480,83,140,16,3,14,44,12,5,53,51,2,0,5,0.292,0.368,0.425,0.7929999999999999,CLE
Stuart Fairchild,2024,OF,28,58,231,209,33,45,8,0,8,30,13,1,17,60,2,1,4,0.215,0.286,0.368,0.6539999999999999,CIN
TJ Friedl,2024,OF,29,85,339,297,35,67,5,1,13,55,9,1,26,52,2,4,12,0.226,0.31,0.38,0.69,CIN
Taylor Walls,2024,SS,28,63,252,218,27,40,5,3,1,14,16,4,31,67,0,3,0,0.183,0.282,0.248,0.53,TB
Taylor Ward,2024,OF,31,162,663,585,73,144,26,2,25,75,6,4,63,163,0,8,7,0.246,0.323,0.426,0.749,LAA
Teoscar Hernandez,2024,OF,32,162,651,589,84,160,32,2,33,99,12,3,53,188,0,1,8,0.272,0.339,0.501,0.8400000000000001,LAD
Thairo Estrada,2024,2B,29,96,381,364,43,79,15,2,9,47,2,2,10,76,0,2,5,0.217,0.247,0.343,0.5900000000000001,SF
Tim Anderson,2024,SS,31,61,241,234,16,50,3,0,0,9,4,4,7,68,0,0,0,0.214,0.237,0.226,0.46299999999999997,MIA
Tomas Nido,2024,C,30,34,136,130,14,25,4,0,4,12,0,0,5,35,3,1,0,0.192,0.221,0.315,0.536,CHC
Tommy Edman,2024,OF,29,39,153,139,20,33,5,1,6,20,6,0,11,30,0,2,1,0.237,0.294,0.417,0.711,LAD
Tommy Pham,2024,OF,36,121,478,440,49,109,20,3,9,39,7,3,35,106,0,1,2,0.248,0.305,0.368,0.673,STL
Travis Jankowski,2024,OF,33,52,207,190,19,38,5,0,1,12,11,1,12,44,0,0,5,0.2,0.266,0.242,0.508,TEX
Travis d'Arnaud,2024,C,36,86,341,307,40,73,16,0,15,48,1,0,24,89,0,4,6,0.238,0.302,0.436,0.738,ATL
Trea Turner,2024,SS,31,135,539,505,88,149,25,0,21,62,19,4,27,98,0,1,6,0.295,0.338,0.469,0.8069999999999999,PHI
Trent Grisham,2024,OF,28,52,207,179,21,34,8,0,9,31,1,1,22,57,1,2,4,0.19,0.29,0.385,0.675,NYY
Trevor Larnach,2024,OF,27,100,400,355,59,92,17,0,15,52,4,1,40,89,0,2,3,0.259,0.338,0.434,0.772,MIN
Trevor Story,2024,SS,32,27,106,94,8,24,7,0,2,10,6,3,11,33,0,0,1,0.255,0.34,0.394,0.734,BOS
Trey Cabbage,2024,OF,27,23,91,86,12,18,8,0,1,8,1,1,4,34,0,0,1,0.209,0.253,0.337,0.5900000000000001,HOU
Trey Lipscomb,2024,3B,24,53,209,190,20,38,3,0,1,10,11,2,16,40,1,1,2,0.2,0.268,0.232,0.5,WSH
Trey Sweeney,2024,SS,24,30,119,110,11,24,5,0,4,17,2,0,7,32,0,1,1,0.218,0.269,0.373,0.642,DET
Triston Casas,2024,1B,25,61,243,212,28,51,8,0,13,32,0,1,30,77,0,0,1,0.241,0.337,0.462,0.799,BOS
Tucker Barnhart,2024,C,34,24,94,81,13,14,3,0,0,6,1,0,13,31,2,0,0,0.173,0.287,0.21,0.497,ARI
Ty France,2024,1B,30,134,535,479,46,112,24,0,13,51,1,1,38,114,0,5,13,0.234,0.305,0.365,0.6699999999999999,CIN
Tyler Fitzgerald,2024,SS,27,86,341,314,53,88,19,2,15,34,17,4,22,108,0,1,4,0.28,0.334,0.497,0.831,SF
Tyler Freeman,2024,OF,25,95,380,330,48,69,14,1,7,32,11,6,28,53,3,3,19,0.209,0.305,0.321,0.626,CLE
Tyler Nevin,2024,3B,27,70,278,245,22,50,10,0,7,20,1,0,25,64,0,3,5,0.204,0.288,0.331,0.619,OAK
Tyler O'Neill,2024,OF,29,119,473,411,74,99,18,0,31,61,4,0,53,159,0,2,7,0.241,0.336,0.511,0.847,BOS
Tyler Soderstrom,2024,1B,23,54,213,189,18,44,10,0,9,26,0,0,20,53,0,1,3,0.233,0.315,0.429,0.744,OAK
Tyler Stephenson,2024,C,28,129,515,457,69,118,26,1,19,66,1,0,48,117,0,2,8,0.258,0.338,0.444,0.782,CIN
Tyler Wade,2024,3B,30,38,151,138,28,30,3,0,0,8,8,1,11,29,4,0,2,0.217,0.285,0.239,0.524,SD
Tyrone Taylor,2024,OF,31,86,344,319,47,79,22,3,7,35,11,2,19,80,1,1,5,0.248,0.299,0.401,0.7,NYM
Vaughn Grissom,2024,2B,24,29,114,105,10,20,3,0,0,6,2,0,7,24,0,1,1,0.19,0.246,0.219,0.46499999999999997,BOS
Victor Caratini,2024,C,31,68,271,245,30,66,8,1,8,30,0,1,23,53,0,0,3,0.269,0.339,0.408,0.747,HOU
Victor Robles,2024,OF,27,73,289,254,44,78,20,0,4,28,34,2,21,53,6,3,11,0.307,0.381,0.433,0.8140000000000001,WSH
Victor Scott,2024,OF,24,39,155,145,14,26,9,0,2,10,5,1,6,42,0,2,2,0.179,0.219,0.283,0.502,STL
Vidal Brujan,2024,2B,27,70,277,248,32,55,14,2,2,16,5,6,25,54,1,0,4,0.222,0.303,0.319,0.622,MIA
Vinnie Pasquantino,2024,1B,27,139,553,496,64,130,30,2,19,97,1,0,40,71,1,13,4,0.262,0.315,0.446,0.761,KC
Vladimir Guerrero,2024,1B,25,162,697,616,98,199,44,1,30,103,2,2,72,96,0,4,5,0.323,0.396,0.544,0.9400000000000001,TOR
Wenceel Perez,2024,OF,25,106,423,389,51,94,16,6,9,37,9,5,32,92,2,1,1,0.242,0.3,0.383,0.683,DET
Weston Wilson,2024,OF,30,25,98,88,13,25,7,1,3,10,3,0,8,29,0,1,1,0.284,0.347,0.489,0.836,PHI
Whit Merrifield,2024,2B,36,84,331,293,44,65,9,3,4,15,17,3,35,52,4,0,3,0.222,0.311,0.314,0.625,ATL
Will Benson,2024,OF,26,97,385,343,41,64,19,2,14,43,16,7,40,154,1,0,2,0.187,0.275,0.376,0.651,CIN
Will Brennan,2024,OF,27,89,353,330,37,87,13,2,8,30,4,2,19,48,0,1,3,0.264,0.309,0.388,0.6970000000000001,CLE
Will Smith,2024,C,29,136,544,476,77,118,24,2,20,75,1,1,51,105,0,8,9,0.248,0.327,0.433,0.76,LAD
Will Wagner,2024,2B,26,22,86,82,8,25,6,0,2,11,0,0,4,16,0,0,0,0.305,0.337,0.451,0.788,TOR
Willi Castro,2024,OF,27,159,634,558,89,138,31,5,12,60,14,9,51,150,1,4,21,0.247,0.331,0.385,0.716,MIN
William Contreras,2024,C,27,162,679,595,99,167,37,2,23,92,9,2,78,139,0,3,3,0.281,0.365,0.466,0.831,MIL
Willie Calhoun,2024,OF,30,64,254,229,26,56,16,0,5,20,0,1,23,31,0,1,1,0.245,0.315,0.38,0.6950000000000001,LAA
Willson Contreras,2024,C,32,90,358,301,48,79,17,0,15,36,4,1,45,96,0,0,12,0.262,0.38,0.468,0.8480000000000001,STL
Willy Adames,2024,SS,29,162,688,610,93,153,33,0,32,112,21,4,74,173,0,3,1,0.251,0.331,0.462,0.793,MIL
Wilmer Flores,2024,1B,33,61,242,214,19,44,12,0,4,26,0,0,20,33,0,5,3,0.206,0.277,0.318,0.595,SF
Wilyer Abreu,2024,OF,25,112,447,399,59,101,33,2,15,58,8,3,40,125,0,5,3,0.253,0.322,0.459,0.781,BOS
Wyatt Langford,2024,OF,23,140,557,499,74,126,25,4,16,74,19,3,51,115,0,3,4,0.253,0.325,0.415,0.74,TEX
Xander Bogaerts,2024,SS,32,116,463,428,50,113,15,1,11,44,13,3,28,79,0,6,1,0.264,0.307,0.381,0.688,SD
Xavier Edwards,2024,SS,25,76,302,265,39,87,12,5,1,26,31,4,33,52,1,4,0,0.328,0.397,0.423,0.8200000000000001,MIA
Yainer Diaz,2024,C,26,155,619,585,70,175,29,3,16,84,2,0,24,107,0,8,2,0.299,0.325,0.441,0.766,HOU
Yan Gomes,2024,C,37,24,95,91,7,14,2,0,2,7,0,0,2,36,1,1,1,0.154,0.179,0.242,0.421,CHC
Yandy Diaz,2024,1B,33,156,621,563,55,158,31,1,14,65,0,0,50,95,0,4,4,0.281,0.341,0.414,0.755,TB
Yasmani Grandal,2024,C,36,60,240,215,26,49,10,0,9,27,1,0,24,46,3,1,0,0.228,0.304,0.4,0.704,PIT
Yordan Alvarez,2024,OF,27,159,635,552,88,170,34,2,35,86,6,0,69,95,0,4,10,0.308,0.392,0.567,0.959,HOU
Zach McKinstry,2024,SS,29,82,325,297,32,64,14,5,4,23,16,0,24,69,0,2,2,0.215,0.277,0.337,0.6140000000000001,DET
Zach Neto,2024,SS,24,150,598,542,70,135,34,1,23,77,30,10,39,140,4,1,16,0.249,0.318,0.443,0.761,LAA
Zack Gelof,2024,2B,25,136,544,497,60,105,20,2,17,49,25,3,38,188,3,5,4,0.211,0.27,0.362,0.632,OAK
Zack Short,2024,2B,29,22,85,70,11,9,3,0,0,5,2,1,14,24,3,0,1,0.129,0.282,0.171,0.45299999999999996,BOS
