Player,Year,Pos,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Team
Josh Jung,2024,3B,27,47,188,178,19,47,5,1,7,16,4,0,8,48,0,1,1,0.264,0.298,0.421,0.719,TEX
Josh Lowe,2024,OF,27,97,387,353,37,85,19,2,10,34,25,1,32,123,0,2,0,0.241,0.302,0.391,0.6930000000000001,TB
Josh Naylor,2024,1B,27,158,632,563,84,137,27,0,31,108,6,2,58,105,0,4,7,0.243,0.32,0.456,0.776,CLE
Josh Rojas,2024,3B,30,119,473,422,48,95,19,2,8,31,10,4,46,108,1,2,3,0.225,0.304,0.336,0.64,SEA
Josh Smith,2024,3B,27,148,590,523,67,135,30,1,13,62,11,2,46,121,2,3,18,0.258,0.337,0.394,0.7310000000000001,TEX
Juan Soto,2024,OF,26,162,713,576,128,166,31,4,41,109,7,4,129,119,0,4,4,0.288,0.419,0.569,0.988,NYY
Juan Yepez,2024,1B,27,62,248,226,32,64,15,0,6,26,2,1,18,42,1,3,1,0.283,0.335,0.429,0.764,WSH
Julio Rodriguez,2024,OF,24,154,613,567,76,155,17,0,20,68,24,5,38,156,0,2,6,0.273,0.325,0.409,0.734,SEA
Jung Hoo Lee,2024,OF,26,40,158,145,15,38,4,0,2,8,2,3,10,13,0,2,1,0.262,0.31,0.331,0.641,SF
Junior Caminero,2024,3B,21,45,177,165,15,41,9,1,6,18,2,0,11,38,0,0,1,0.248,0.299,0.424,0.723,TB
Jurickson Profar,2024,OF,32,162,663,564,94,158,29,0,24,85,10,3,76,101,5,5,18,0.28,0.38,0.459,0.839,SD
Justin Turner,2024,1B,40,136,539,460,59,119,24,0,11,55,0,2,59,95,0,7,13,0.259,0.354,0.383,0.737,SEA
Justyn-Henry Malloy,2024,OF,25,58,230,202,18,41,7,1,8,21,1,1,23,85,0,2,3,0.203,0.291,0.366,0.657,DET
Ke'Bryan Hayes,2024,3B,28,99,396,365,38,85,9,0,4,25,11,2,23,75,0,4,4,0.233,0.283,0.29,0.573,PIT
Keibert Ruiz,2024,C,26,122,485,459,46,105,21,0,13,57,3,1,16,54,0,5,5,0.229,0.26,0.359,0.619,WSH
Kerry Carpenter,2024,OF,27,74,293,264,37,75,16,5,18,57,0,2,22,75,0,3,4,0.284,0.345,0.587,0.9319999999999999,DET
Ketel Marte,2024,2B,31,146,583,504,93,147,23,2,36,95,7,1,65,106,0,9,5,0.292,0.372,0.56,0.932,ARI
Kevin Kiermaier,2024,OF,34,69,274,259,31,51,9,3,5,26,6,2,12,86,7,1,2,0.197,0.237,0.313,0.55,LAD
Kevin Newman,2024,SS,31,76,303,288,41,80,17,1,3,28,8,1,15,48,6,0,0,0.278,0.314,0.375,0.6890000000000001,ARI
Kevin Pillar,2024,OF,36,79,312,284,38,65,16,1,8,45,12,3,16,69,1,2,10,0.229,0.292,0.377,0.669,CWS
Kody Clemens,2024,3B,28,30,120,114,17,25,9,1,5,18,0,0,5,29,0,0,1,0.219,0.258,0.447,0.7050000000000001,PHI
Korey Lee,2024,C,26,99,394,377,36,79,14,1,12,37,6,3,17,122,0,0,0,0.21,0.244,0.347,0.591,CWS
Kris Bryant,2024,DH,33,39,154,133,9,29,5,0,2,15,0,0,13,48,0,0,8,0.218,0.325,0.301,0.626,COL
Kyle Farmer,2024,SS,34,60,240,215,26,46,13,1,5,25,3,5,19,49,0,0,6,0.214,0.296,0.353,0.649,MIN
Kyle Higashioka,2024,C,34,66,262,246,29,54,10,1,17,45,2,0,15,74,1,1,0,0.22,0.263,0.476,0.739,SD
Kyle Isbel,2024,OF,27,105,418,384,62,88,13,8,8,42,11,2,27,88,8,2,5,0.229,0.287,0.367,0.6539999999999999,KC
Kyle Manzardo,2024,DH,24,39,156,145,11,34,12,0,5,15,0,0,9,41,0,1,1,0.234,0.282,0.421,0.703,CLE
